! Ozone column map for India - February 2024
! Format: Date  Lat1  Lat2  O3col
2024032    5.0   10.0   285.0
2024032   10.0   15.0   280.0
2024032   15.0   20.0   275.0
2024032   20.0   25.0   270.0
2024032   25.0   30.0   265.0
2024032   30.0   35.0   260.0
2024033    5.0   10.0   285.0
2024033   10.0   15.0   280.0
2024033   15.0   20.0   275.0
2024033   20.0   25.0   270.0
2024033   25.0   30.0   265.0
2024033   30.0   35.0   260.0
2024034    5.0   10.0   285.0
2024034   10.0   15.0   280.0
2024034   15.0   20.0   275.0
2024034   20.0   25.0   270.0
2024034   25.0   30.0   265.0
2024034   30.0   35.0   260.0
2024035    5.0   10.0   285.0
2024035   10.0   15.0   280.0
2024035   15.0   20.0   275.0
2024035   20.0   25.0   270.0
2024035   25.0   30.0   265.0
2024035   30.0   35.0   260.0
2024036    5.0   10.0   285.0
2024036   10.0   15.0   280.0
2024036   15.0   20.0   275.0
2024036   20.0   25.0   270.0
2024036   25.0   30.0   265.0
2024036   30.0   35.0   260.0
2024037    5.0   10.0   285.0
2024037   10.0   15.0   280.0
2024037   15.0   20.0   275.0
2024037   20.0   25.0   270.0
2024037   25.0   30.0   265.0
2024037   30.0   35.0   260.0
2024038    5.0   10.0   285.0
2024038   10.0   15.0   280.0
2024038   15.0   20.0   275.0
2024038   20.0   25.0   270.0
2024038   25.0   30.0   265.0
2024038   30.0   35.0   260.0
2024039    5.0   10.0   285.0
2024039   10.0   15.0   280.0
2024039   15.0   20.0   275.0
2024039   20.0   25.0   270.0
2024039   25.0   30.0   265.0
2024039   30.0   35.0   260.0
2024040    5.0   10.0   285.0
2024040   10.0   15.0   280.0
2024040   15.0   20.0   275.0
2024040   20.0   25.0   270.0
2024040   25.0   30.0   265.0
2024040   30.0   35.0   260.0
2024041    5.0   10.0   285.0
2024041   10.0   15.0   280.0
2024041   15.0   20.0   275.0
2024041   20.0   25.0   270.0
2024041   25.0   30.0   265.0
2024041   30.0   35.0   260.0
2024042    5.0   10.0   285.0
2024042   10.0   15.0   280.0
2024042   15.0   20.0   275.0
2024042   20.0   25.0   270.0
2024042   25.0   30.0   265.0
2024042   30.0   35.0   260.0
2024043    5.0   10.0   285.0
2024043   10.0   15.0   280.0
2024043   15.0   20.0   275.0
2024043   20.0   25.0   270.0
2024043   25.0   30.0   265.0
2024043   30.0   35.0   260.0
2024044    5.0   10.0   285.0
2024044   10.0   15.0   280.0
2024044   15.0   20.0   275.0
2024044   20.0   25.0   270.0
2024044   25.0   30.0   265.0
2024044   30.0   35.0   260.0
2024045    5.0   10.0   285.0
2024045   10.0   15.0   280.0
2024045   15.0   20.0   275.0
2024045   20.0   25.0   270.0
2024045   25.0   30.0   265.0
2024045   30.0   35.0   260.0
2024046    5.0   10.0   285.0
2024046   10.0   15.0   280.0
2024046   15.0   20.0   275.0
2024046   20.0   25.0   270.0
2024046   25.0   30.0   265.0
2024046   30.0   35.0   260.0
2024047    5.0   10.0   285.0
2024047   10.0   15.0   280.0
2024047   15.0   20.0   275.0
2024047   20.0   25.0   270.0
2024047   25.0   30.0   265.0
2024047   30.0   35.0   260.0
2024048    5.0   10.0   285.0
2024048   10.0   15.0   280.0
2024048   15.0   20.0   275.0
2024048   20.0   25.0   270.0
2024048   25.0   30.0   265.0
2024048   30.0   35.0   260.0
2024049    5.0   10.0   285.0
2024049   10.0   15.0   280.0
2024049   15.0   20.0   275.0
2024049   20.0   25.0   270.0
2024049   25.0   30.0   265.0
2024049   30.0   35.0   260.0
2024050    5.0   10.0   285.0
2024050   10.0   15.0   280.0
2024050   15.0   20.0   275.0
2024050   20.0   25.0   270.0
2024050   25.0   30.0   265.0
2024050   30.0   35.0   260.0
2024051    5.0   10.0   285.0
2024051   10.0   15.0   280.0
2024051   15.0   20.0   275.0
2024051   20.0   25.0   270.0
2024051   25.0   30.0   265.0
2024051   30.0   35.0   260.0
2024052    5.0   10.0   285.0
2024052   10.0   15.0   280.0
2024052   15.0   20.0   275.0
2024052   20.0   25.0   270.0
2024052   25.0   30.0   265.0
2024052   30.0   35.0   260.0
2024053    5.0   10.0   285.0
2024053   10.0   15.0   280.0
2024053   15.0   20.0   275.0
2024053   20.0   25.0   270.0
2024053   25.0   30.0   265.0
2024053   30.0   35.0   260.0
2024054    5.0   10.0   285.0
2024054   10.0   15.0   280.0
2024054   15.0   20.0   275.0
2024054   20.0   25.0   270.0
2024054   25.0   30.0   265.0
2024054   30.0   35.0   260.0
2024055    5.0   10.0   285.0
2024055   10.0   15.0   280.0
2024055   15.0   20.0   275.0
2024055   20.0   25.0   270.0
2024055   25.0   30.0   265.0
2024055   30.0   35.0   260.0
2024056    5.0   10.0   285.0
2024056   10.0   15.0   280.0
2024056   15.0   20.0   275.0
2024056   20.0   25.0   270.0
2024056   25.0   30.0   265.0
2024056   30.0   35.0   260.0
2024057    5.0   10.0   285.0
2024057   10.0   15.0   280.0
2024057   15.0   20.0   275.0
2024057   20.0   25.0   270.0
2024057   25.0   30.0   265.0
2024057   30.0   35.0   260.0
2024058    5.0   10.0   285.0
2024058   10.0   15.0   280.0
2024058   15.0   20.0   275.0
2024058   20.0   25.0   270.0
2024058   25.0   30.0   265.0
2024058   30.0   35.0   260.0
2024059    5.0   10.0   285.0
2024059   10.0   15.0   280.0
2024059   15.0   20.0   275.0
2024059   20.0   25.0   270.0
2024059   25.0   30.0   265.0
2024059   30.0   35.0   260.0
